Film Title,Release Date,Year Nominated,Winner?,Genres,Period Peice?,Biopic?,Non-English?,RT Critic Score,RT Audience Score,MC Critic Score,MC User Score,MC User Score (Adjusted),iMDB Score,Letterboxd Score,Letterboxd Score (Adjusted),Audience Score Aggregate,Critical Score Aggregate,Oscar-bait Score,Percent Oscar Bait,Oscarbait Score (Excluding Reviews),,,
American Hustle,"December 13, 2013",2013,FALSE,"Comedy, Crime, Drama",FALSE,FALSE,FALSE,96,74,90,7.3,73,72,3.3,66,74,85,11,88,3,50,,
Gravity,"September 18, 2013",2013,FALSE,"Drama, Sci-Fi",FALSE,FALSE,FALSE,96,79,96,7.8,78,77,3.5,70,79,87,9,79,2,33.33333333,,Other Statistics That We Should Look At :
12 Years a Slave,"October 18, 2013",2013,TRUE,"Drama, Biography, History",TRUE,FALSE,FALSE,95,90,96,8.1,81,81,4.1,82,86,88,7,70,4,66.66666667,,Snubbed? Number of highest rated RT films vs nominees
Her,"December 18, 2013",2013,FALSE,"Drama, Romance",FALSE,FALSE,FALSE,95,82,91,8.6,86,80,4,80,84,91,5,62,2,33.33333333,,How likely is a more oscarbait / less film to get nominated?
The Wolf of Wall Street,"December 25, 2013",2013,FALSE,"Drama, Comedy, Biography",FALSE,TRUE,FALSE,80,83,75,6.6,66,82,4,80,75,73,4,58,4,66.66666667,,
Nebraska,"November 15, 2013",2013,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,91,83,86,8,80,77,3.9,78,82,86,3,53,2,33.33333333,,
Philomena,"November 21, 2013",2013,FALSE,"Drama, Comedy, Biography",FALSE,TRUE,FALSE,91,89,77,7.8,78,76,3.7,74,84,85,3,53,4,66.66666667,,"Limitations of the data : Only last x years. Would be more revealing to get a comprehensive overview
iMDB and Letterboxd can be contributed by anyone, not just critics or general uses
iMDB has a much larger sample size than other review platforms
The oscarbait algorithm is not perfect, by any means. Doesnt take into account a variety of factors
Not everyone reviews movies. People who leaave a review often have an existing bias. This is a miniscule sample of the poeple actualy watching a movie and, 
chances are if they're leaving a review they're 'into' movies more than the average joe."
Captain Phillips,"October 11, 2013",2013,FALSE,"Action, Thriller",FALSE,FALSE,FALSE,93,89,82,8.1,81,78,3.7,74,85,87,0,40,0,0,,
Dallas Buyers Club,"November 1, 2013",2013,FALSE,"Drama, LGBTQ+",FALSE,FALSE,FALSE,92,91,77,8.1,81,79,4,80,86,87,0,40,2,33.33333333,,"Conclusions - Do the academy awards nominations accurately represent contemporary audiences? Uh. We don't really know
We DO know that, generally, the academy awards pretty well represent critics views of films. This IS a contemporary audience, and one that, arguably the academy awards is targetted towards.
What about a general audience? Yeah, again to an extent. Does it represent our growing tastes? Not 100%... but what does. Everyone is different. 
What about movie creators, directors and produces? Yes. Out of all the contemporary audiences, the best view this gives us is of them.  "
Boyhood,11 July 2014,2014,FALSE,"Drama, Biography",FALSE,TRUE,FALSE,97,80,100,7.5,75,79,3.8,76,78,86,12,92,4,66.66666667,,Conclsuions - Review movies is hard.
Selma,"December 19, 2014",2014,FALSE,"History, Drama",TRUE,FALSE,FALSE,99,86,79,7.2,72,75,3.8,76,79,86,6,66,4,66.66666667,,
Birdman or (The Unexpected Virtue of Ignorance),"August 27, 2014",2014,TRUE,"Comedy, Drama, Superhero",FALSE,FALSE,FALSE,91,78,87,8.2,82,77,4,80,80,87,4,58,2,33.33333333,,
The Theory of Everything,"November 7, 2014",2014,FALSE,"Biography, Drama, Romance",TRUE,TRUE,FALSE,80,84,71,7.8,78,77,3.6,72,81,79,4,58,6,100,,
American Sniper,"December 25, 2014",2014,FALSE,"Drama, War, Biography",FALSE,TRUE,FALSE,72,84,73,6.6,66,73,3.3,66,75,69,3,53,4,66.66666667,,
The Grand Budapest Hotel,"March 7, 2014",2014,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,92,86,88,8.4,84,81,4.2,84,85,88,2,49,2,33.33333333,,
The Imitation Game,"November 8, 2014",2014,FALSE,"History, Drama, War, LGBTQ+",TRUE,FALSE,FALSE,90,91,71,8.1,81,80,3.8,76,86,86,1,45,4,66.66666667,,
Whiplash,"October 10, 2014",2014,FALSE,"Drama, Music",FALSE,FALSE,FALSE,94,94,89,8.8,88,85,4.4,88,91,91,1,45,2,33.33333333,,
Brooklyn,"November 4, 2015",2015,FALSE,"Romance, History, Drama",TRUE,FALSE,FALSE,97,87,88,7.9,79,75,3.8,76,83,88,6,66,4,66.66666667,,
Spotlight,"November 6, 2015",2015,TRUE,"Drama, Biography",FALSE,FALSE,FALSE,97,93,93,8.1,81,81,4.1,82,87,89,3,53,2,33.33333333,,
